+,addition
-,subtraction
*,multiplication
/,division
%,modulo
=,assignment
+=,additionAssignment
-=,subtractionAssignment
*=,multiplicationAssignment
/=,divisionAssignment
%=,moduloAssignment
^=,powerAssignment
<<=,leftShiftAssignment
>>=,rightShiftAssignment
&=,bitAndAssignment
|=,bitOrAssignment
^=,bitXorAssignment
==,equals
!=,notEquals
>,greater
<,lesser
>=,greaterOrEqual
<=,lesserOrEqual
<=>,threeWayComparison
??,bitNot
&,bitAnd
|,bitOr
^,bitXor
++,increment
--,decrement
*,indirection
&,addressOf
->,structureDereference
.,structureReference
.*,memberOfObject
